Year,ID,Author,Title,Embargo-Date,MMS-ID,Supplemental-Path
2012,Davies-TZqsfdErTsSizikBkz5qDv,Andy Lucas Blaize Davies,Grace Under Fire: Altruistic Behavior And The Risk Of Criminal Victimization,False,990015943970204808,/media/Masters/ETD-storage/2012/Davies-TZqsfdErTsSizikBkz5qDv/data/Davies_sunyalb_0668A_185/Surveycertificate.pdf
2012,Degraw-hCp4ntcTE2Ae2B5EucTTTk,Arthur James Degraw,Optimal Recovery Of Holomorphic Functions From Inaccurate Information About Integration Type Operators,False,9932199451204808,/media/Masters/ETD-storage/2012/Degraw-hCp4ntcTE2Ae2B5EucTTTk/data/DeGraw_sunyalb_0668A_185/disschecklist.pdf
2012,Gagliardi-i7gy7zKF29VSibSoHuW8My,Jonathan Gagliardi,Measuring Entrepreneurship In The Academic Heartland,False,9932225454504808,/media/Masters/ETD-storage/2012/Gagliardi-i7gy7zKF29VSibSoHuW8My/data/Gagliardi_sunyalb_0668A_185/IRB.pdf
2012,Liu-EVXBVVKnpfEiMcy9cTi6Gb,Ming Liu,Evaluating The Impact Of Prior Hospital Mortality Versus Surgical Volume On Length Of Stay Following Pediatric Congenital Cardiac Surgery In New York State,False,9932225450304808,/media/Masters/ETD-storage/2012/Liu-EVXBVVKnpfEiMcy9cTi6Gb/data/Liu_sunyalb_0668N_185/IRB_Approval.pdf
2013,Bueno-bZRM57MfoQUiMPfKWvhcPC,Justin J. Bueno,Vibrational Spectroscopic Analysis Of Gunshot Residue: A Novel Approach For Detection And Characterization,False,9932177232604808,/media/Masters/ETD-storage/2013/Bueno-bZRM57MfoQUiMPfKWvhcPC/data/Bueno_sunyalb_0668A_185/VideoS-1.avi
2013,Goins-R7sgNYgEqQXoCnK8iLbAPq,Stephen Goins,In Utero Exposure To Antiretroviral Medication And Congenital Malformations In New York State 1998-2010,False,9932226048004808,/media/Masters/ETD-storage/2013/Goins-R7sgNYgEqQXoCnK8iLbAPq/data/Goins_sunyalb_0668N_185/Goins-IRBExemption.pdf
2014,Akankunda-BDEt2MXNTFvKuUtMBo9wPu,Denis Bwesigye Akankunda,Factor Associated With Incomplete Reporting Of Hiv/Aids By Uganda'S Surveillance System,False,9932238360104808,/media/Masters/ETD-storage/2014/Akankunda-BDEt2MXNTFvKuUtMBo9wPu/data/Akankunda_sunyalb_0668A_185/Checkilist-DenisAkankunda.pdf
2014,Barry-cjpZ5s9bWwrnKsV9qgoX52,Samantha Aldea Barry,The Effects Of Harsh Parenting And Interparental Aggression Experienced In Youth On The Sympathetic Nervous System,False,9932241644104808,/media/Masters/ETD-storage/2014/Barry-cjpZ5s9bWwrnKsV9qgoX52/data/Barry_sunyalb_0668N_185/Masters_sb_final_5.pdf
2014,Belibi_Enama-PS3vk2pgQgwX7kFdpBnKhF,Patrick Rodrigue Belibi Enama,"Information Structure, Agreement And Disagreement In English And French Asynchronous Online Discussion",False,9932206755404808,/media/Masters/ETD-storage/2014/Belibi_Enama-PS3vk2pgQgwX7kFdpBnKhF/data/BelibiEnama_sunyalb_0668N_185/LEMONDEFRDATA.doc
2014,Deitchman-ivrjtJv5HvfFVaRXdCfQCn,Jay B. Deitchman,Factors Influencing The Adjustment Of International Students Enrolled At Public Higher Education Institutions In New York State: An Examination Of,False,9932225455804808,/media/Masters/ETD-storage/2014/Deitchman-ivrjtJv5HvfFVaRXdCfQCn/data/Deitchman_sunyalb_0668A_185/ContentsforappendixD.pdf
2014,Williams-jGLKJVpQCtsRJp2YXK9UmB,James K. Williams,An Implantable Device For Manipulation Of The In Vivo Tumor Microenvironment,False,9932214059604808,/media/Masters/ETD-storage/2014/Williams-jGLKJVpQCtsRJp2YXK9UmB/data/Williams_sunyalb_0668A_185/SuppMovie8MTLn3cellsonNanofiber-GlassSubstrates.avi
2016,Alexander-46WD797W38ieTbw2VYVGYU,James Nicholas Alexander,Development Of Enhanced Window Layers For Cigs Photovoltaic Devices,False,9932173752304808,/media/Masters/ETD-storage/2016/Alexander-46WD797W38ieTbw2VYVGYU/data/Alexander_sunyalb_0668A_185/Ref 53.pdf
2016,Armato-bbNfwJorp5KRvY48M6rcsg,Michael A. Armato,Practicing Representation: The Impact Of Electoral Competition On The Home Styles Of U.S. Representatives,False,9932238560204808,/media/Masters/ETD-storage/2016/Armato-bbNfwJorp5KRvY48M6rcsg/data/Armato_sunyalb_0668A_185/USGS Permission.pdf
2016,Byun-6wYAwUVk5ELSNagswsHuyn,Youjung Byun,"Maternal Surgery Or Anesthesia Use During Pregnancy  And The Risk Of Adverse Birth Outcomes In The National Birth Defects Prevention Study, 1997-2009",False,9932226049304808,/media/Masters/ETD-storage/2016/Byun-6wYAwUVk5ELSNagswsHuyn/data/Byun_sunyalb_0668A_185/Permission to use Figure 1 from author.pdf
2016,Carioto-C3yiSigio4YWfYt58y5Z5Y,Jeanette Carioto,Exploring Mortuary Behaviors During The Rural Cemetery Movement In The Capital District Of New York State,False,9932113558404808,/media/Masters/ETD-storage/2016/Carioto-C3yiSigio4YWfYt58y5Z5Y/data/Carioto_sunyalb_0668A_185/J Carioto Oakwood Permission.pdf
2016,Pritchett-ZzjJ3wYA6PARtAtibzn7pr,Jillian Pritchett,"An Ecological Assessment Of Vernal Pools In Rhinebeck, New York",False,9932201859404808,/media/Masters/ETD-storage/2016/Pritchett-ZzjJ3wYA6PARtAtibzn7pr/data/Pritchett_sunyalb_0668N_185/data sharing agreement%2c Bonitatibus%2c Hudsonia.pdf
2016,Tomov-CHZY7FLVDoeXC9rhUQYk2v,Martin Lyubomirov Tomov,Nanotechnology & Human Stem Cells: Applications In Cardiogenesis And Neurogenesis,False,9932213357204808,/media/Masters/ETD-storage/2016/Tomov-CHZY7FLVDoeXC9rhUQYk2v/data/Tomov_sunyalb_0668A_185/Supplementary Movie 4.avi
2017,Beckmann-WP58qUVzQy4fzQPNzRDk9N,Karsten Beckmann,Resistive Random Access Memory From Materials Engineering And Development To Novel Encryption And Neuromorphic Applications,False,9932173752704808,/media/Masters/ETD-storage/2017/Beckmann-WP58qUVzQy4fzQPNzRDk9N/data/Beckmann_sunyalb_0668A_185/Copyright_Schuman2014.pdf
2017,Mendelsohn-T4m4igQJ9qdBbhanrLFBWK,Rebecca R. Mendelsohn,Resilience And Interregional Interaction At The Early Mesoamerican City Of Izapa: The Formative To Classic Period Transition,False,9932113616504808,/media/Masters/ETD-storage/2017/Mendelsohn-T4m4igQJ9qdBbhanrLFBWK/data/Mendelsohn_sunyalb_0668A_185/Permission emails from NWAF.pdf
2017,O'Brien-avn3u6oYLsEAhb5Hdqf2hV,Brittany O'Brien,Analysis Of Candidate Genes For Seizure Susceptibility In Epileptogenesis,2017-11-03,9932200760304808,/media/Masters/ETD-storage/2017/O'Brien-avn3u6oYLsEAhb5Hdqf2hV/data/OBrien_sunyalb_0668N_185/brit_release letter.pdf
2017,Rencurrel-kKdE8wUtjR3mtnbxTfnDku,Michael Cameron Rencurrel,Understanding Climatic Adjustments To Variations In Tropical Ocean Heat Transport,False,9932213952804808,/media/Masters/ETD-storage/2017/Rencurrel-kKdE8wUtjR3mtnbxTfnDku/data/Rencurrel_sunyalb_0668N_185/fig1_1_permission.pdf
2017,Saini-E2vLK78fSKYuYUj6meRk8U,Janmeet Singh Saini,Retinal Disease Modeling And Drug Screening Using Stem Cell Derived Retinal Pigment Epithelium,False,9932200760004808,/media/Masters/ETD-storage/2017/Saini-E2vLK78fSKYuYUj6meRk8U/data/Saini_sunyalb_0668A_185/stem2138_mmc2_75dudk.xlsx
2017,Spriggs-6dhJU4KriT2w97vyXAb25K,Amanda Nicole Spriggs,Evolution Of Lemur Pelage Color Variation,False,9932113607504808,/media/Masters/ETD-storage/2017/Spriggs-6dhJU4KriT2w97vyXAb25K/data/Spriggs_sunyalb_0668A_185/Copyright Permission Figure 4-4 from Stephen Nash.pdf
2017,Warner-2gnymt6AJT85JpWHotZYDY,Leneea Toyisha Warner,Disease In A Dish: Modeling Tau Pathology For Future Antibody Testing,False,9932200660204808,/media/Masters/ETD-storage/2017/Warner-2gnymt6AJT85JpWHotZYDY/data/Warner_sunyalb_0668N_185/Figure 5 permission.pdf
2018,Bartlett-Ld6BEGqbzyt4XrEb5aJpsu,Joshua Bartlett,Before Nature'S Nation: Ecological Thought And Early American Poetry,False,9932173757904808,/media/Masters/ETD-storage/2018/Bartlett-Ld6BEGqbzyt4XrEb5aJpsu/data/Bartlett_sunyalb_0668A_185/sample-publishing-agreement (Taylor x26 Francis).pdf
2018,Blau-SMpDoo8VnaPA5wPFSKn72V,Lauren E. Blau,The Effects Of Pre-Pregnancy Tobacco Use On Food Cravings And Weight Gain In Pregnancy,False,9932241756804808,/media/Masters/ETD-storage/2018/Blau-SMpDoo8VnaPA5wPFSKn72V/data/Blau_sunyalb_0668N_185/Blau_Masters_Final_Table_1.pdf
2018,Carado-T74YZGTXkpdj2qCfLhE6ad,Bertrand Carado,Transits Of Non-Spherical Exoplanets,False,9932111256804808,"/media/Masters/ETD-storage/2018/Carado-T74YZGTXkpdj2qCfLhE6ad/data/Carado_sunyalb_0668N_185/Re: Requesting permission to use your picture of a synestia - Carado, Bertrand.pdf"
2018,Chakraborty-5yReV3c4VJE78sCtfcysYL,Tonmoy Chakraborty,Illumination Modulation For Improved Propagation-Based Phase Imaging,False,9932134556504808,/media/Masters/ETD-storage/2018/Chakraborty-5yReV3c4VJE78sCtfcysYL/data/Chakraborty_sunyalb_0668A_185/permission to use fig.pdf
2018,Connors-6TFfRFRrLnUrbCoVvFKR5a,Dustin Connors,"Now, Tomorrow, Forever: The Persistence Of School Segregation In America",False,9932113453804808,"/media/Masters/ETD-storage/2018/Connors-6TFfRFRrLnUrbCoVvFKR5a/data/Connors_sunyalb_0668N_185/Now, Tomorrow, Forever.mp4"
2018,D'Brant-hdt5enM8XZCpG3fkMPUgEi,Lianna Yin D'Brant,Imaging Approaches To Study Neuron And Astrocyte Morphology,False,9932291460104808,/media/Masters/ETD-storage/2018/D'Brant-hdt5enM8XZCpG3fkMPUgEi/data/DBrant_sunyalb_0668N_185/Copyright Clearance Center.pdf
2018,Fletcher-L9UryiUUwo8tzsy4H8NsUv,Samantha Fletcher,Working Toward Social Change: Lessons Learned From Liberal Lifelong Social Activists,False,9932225344704808,/media/Masters/ETD-storage/2018/Fletcher-L9UryiUUwo8tzsy4H8NsUv/data/Fletcher_sunyalb_0668A_185/Gazette.pdf
2018,Jamro-QUiRkgzsUdoyDTNChqSbHx,Erica Jamro,Preconception Serum Alpha-Tocopherol Levels Are Associated With Higher Live Birth Rates After In Vitro Fertilization,2020-05-08,9932258460204808,/media/Masters/ETD-storage/2018/Jamro-QUiRkgzsUdoyDTNChqSbHx/data/Jamro_sunyalb_0668N_185/Serum Lipid Profile and IVF Outcomes Thesis Supplemental Tables Figures Erica Jamro Updated.pdf
2018,Marini-cyHRD9y2i8wmkRnG9axQv2,Jonathan Marini,Development Of Cs-Free Ultraviolet Iii-Nitride Photocathodes,False,9932291460204808,/media/Masters/ETD-storage/2018/Marini-cyHRD9y2i8wmkRnG9axQv2/data/Marini_sunyalb_0668A_185/figure_permissions.zip
2018,Mowll-7n6TcHN74ryniDYM7J2nfF,Tyler Rutley Mowll,Growth Of Epitaxial Graphene On Single Crystal Copper Surfaces By Chemical Vapor Deposition,False,9932213358404808,/media/Masters/ETD-storage/2018/Mowll-7n6TcHN74ryniDYM7J2nfF/data/Mowll_sunyalb_0668A_185/Permission for resuse for figures 1_3 2_3 and 2_5 .pdf
2018,Pageau-9i4yW7653iKNMtmTTHHqfa,Hanna Marie Pageau,"Finding The Foundation: Exploring A Historic Stockade Property In Schenectady, New York",False,9932113454804808,/media/Masters/ETD-storage/2018/Pageau-9i4yW7653iKNMtmTTHHqfa/data/Pageau_sunyalb_0668N_185/HMP - MA THESIS - SUPPLEMENTARY 2 - CERAMICS ANALYSIS.xlsx
2018,Reid-9aoi52aUUH36MZnrkVos9C,Kaydian Simone Reid,Us-Born Caribbean Black Adolescents: Psychosocial Factors And The Prevalence Of Initiation Of Sexual Intercourse,False,9932238160304808,/media/Masters/ETD-storage/2018/Reid-9aoi52aUUH36MZnrkVos9C/data/REID_sunyalb_0668A_185/Copyright Permissions Document 2 .pdf
2019,Almehmadi-ahrnZGSKbCNeeWobYLtUZx,Lamyaa Almehmadi,Sers For Protein Detection At A Single Molecule Level For Developing A New Medical Diagnostics Platform,False,9932134059804808,/media/Masters/ETD-storage/2019/Almehmadi-ahrnZGSKbCNeeWobYLtUZx/data/Almehmadi_sunyalb_0668N_185/Co-author approval for master thesis.png
2019,Grzeskowiak-4ofCDzeXPN7YxV4p3Uxx2b,Steven Grzeskowiak,Secondary Electron Interactions In Exposures Of Euv Photoresists,False,9932141056404808,/media/Masters/ETD-storage/2019/Grzeskowiak-4ofCDzeXPN7YxV4p3Uxx2b/data/Grzeskowiak_sunyalb_0668A_185/Permission - Bandgap Dependence and Related Features of Radiation Ionization Energies in Semiconductors.pdf
2019,Hull-U2wcWJRx5XHptZjALEQAbf,Katrina Alexandra Hull,Endogenous Policy Design In Healthcare:  A Case Study Of Emergency Department Crowding,False,9932132760304808,/media/Masters/ETD-storage/2019/Hull-U2wcWJRx5XHptZjALEQAbf/data/Hull_sunyalb_0668A_185/dynamic hypothesis v2.mdl
2019,Isidoridy-YiCjJSD6oKkj3Yx9x8fBh7,Andrew Charles Isidoridy,Post-Translational Modifications And Functional Studies Of Dksa In Escherichia Coli,2021-06-06,9932293760104808,/media/Masters/ETD-storage/2019/Isidoridy-YiCjJSD6oKkj3Yx9x8fBh7/data/Isidoridy_sunyalb_0668A_185/Mass Spec Permission.pdf
2019,Mahaboob-5TJ9RozmKU4KcLT3PRwfTQ,Isra Mahaboob,Device Engineering Of Algan/Gan Hemts For Applications In Power-Electronic And Sensing,2020-06-12,9932293756004808,/media/Masters/ETD-storage/2019/Mahaboob-5TJ9RozmKU4KcLT3PRwfTQ/data/Mahaboob_sunyalb_0668A_185/Chapter 1 Figure 1 email with Permission.pdf
2019,Maylahn-djvBbDAEMUhpNmDQuYTTec,Christopher Mierow Maylahn,Assessing The Sustainability Of Collaborations Between Local Health Departments And Nonprofit Hospitals For Population Health,False,9932138752004808,/media/Masters/ETD-storage/2019/Maylahn-djvBbDAEMUhpNmDQuYTTec/data/Maylahn_sunyalb_0668A_185/Appendix D.pdf
2019,Schiraldi-Y8RxQQ3dtd2DaEoTNZhHD2,Cathleen Maria Schiraldi,Inteins From Pathogenic Microbes As Regulatory Elements And Potential Drug Targets,2019-08-14,9932238658504808,/media/Masters/ETD-storage/2019/Schiraldi-Y8RxQQ3dtd2DaEoTNZhHD2/data/Schiraldi_sunyalb_0668A_185/PNAS_author_license.pdf
2019,Soyer-KNRT2pnSXkSeExYorANwf2,Miles Alexander Soyer,The Influence Of Mir-322 On Skeletal Muscle Differentiation,2021-08-07,9932293556604808,/media/Masters/ETD-storage/2019/Soyer-KNRT2pnSXkSeExYorANwf2/data/Soyer_sunyalb_0668N_185/2019-08-07 (2).png
2019,Torres-HKvVTHFp9aTutGK6eNBJ8P,Steven Torres,Development Of A Neutropenic Murine Model For Invasive Candida Auris Infection,False,9932159155904808,/media/Masters/ETD-storage/2019/Torres-HKvVTHFp9aTutGK6eNBJ8P/data/Torres_sunyalb_0668N_185/Permission for Thesis.PNG
2019,Zacuto-5iDJDdwv33iiqbhqWuyK2R,David Zacuto,Stand-Your-Ground Laws And Housing Insecurity: Boundary-Work And Intersections In Gun Laws And Housing Insecurity,False,9932135860104808,/media/Masters/ETD-storage/2019/Zacuto-5iDJDdwv33iiqbhqWuyK2R/data/Zacuto_sunyalb_0668N_185/all data.xlsx
2020,Bahaddin-62RZmLa2CWpSrs5SjJBtzo,Babak Bahaddin,Using Systems Archetypes And Generic Structures To Support Water Resource Management Studies:  The Case Of Cropping Pattern Change In New Mexico State,False,9932256258204808,/media/Masters/ETD-storage/2020/Bahaddin-62RZmLa2CWpSrs5SjJBtzo/data/Bahaddin_sunyalb_0668A_185/Supporting Material (Essay Three).zip
2020,Baranova-kqaHzAdXjU5RsWmZC4uw3h,Danielle Elizabeth Baranova,"Adaptation Of Vibrio Cholerae O1 To Protective, Lipopolysaccharide-Specific Antibodies In The Intestinal Lumen",False,9932255759504808,/media/Masters/ETD-storage/2020/Baranova-kqaHzAdXjU5RsWmZC4uw3h/data/Baranova_sunyalb_0668A_185/C6_Appendix 3.xlsx
2020,Hair-gXpQfbcf5DhnpYmj9g5AL7,Mindy Elizabeth Hair,"Bioaffinity-Based Methods For Forensic, Biometric, And Clinical Purposes",False,9932254559204808,/media/Masters/ETD-storage/2020/Hair-gXpQfbcf5DhnpYmj9g5AL7/data/Hair_sunyalb_0668A_185/3MT Video .mp4
2020,Mistek-Morabito-igTBtdxyF3gRLJhbYykzH4,Ewelina M Mistek-Morabito,Identification And Analysis Of Body Fluid Traces For Forensic Purposes Using Vibrational Spectroscopy And Chemometrics,2021-12-11,9932327058804808,/media/Masters/ETD-storage/2020/Mistek-Morabito-igTBtdxyF3gRLJhbYykzH4/data/MistekMorabito_sunyalb_0668A_185/Ewelina Mistek 2019 3MT 2nd Place Winner.mp4
2020,Ralbovsky-KPoLMrktkaKcfhRzvtUEeD,Nicole M Ralbovsky,Utilizing Raman Spectroscopy And Chemometrics For Novel Medical Diagnostic Purposes,2021-12-08,9932362024204808,/media/Masters/ETD-storage/2020/Ralbovsky-KPoLMrktkaKcfhRzvtUEeD/data/Ralbovsky_sunyalb_0668A_185/Overview audio file-2.mp4
2020,Walsh-DteWWNEr6zJ46cKRWrDxTQ,James Lyons Walsh,The Influence Network In 1+1 Dimensions,False,9932253559904808,/media/Masters/ETD-storage/2020/Walsh-DteWWNEr6zJ46cKRWrDxTQ/data/Walsh_sunyalb_0668A_185/Wiley Permission.pdf
2020,Wang-RLM82V6sqebDABZb4EfTpn,Heng Wang,The Significance Of The Nontraditional Coriolis Terms In Tropical Large-Scale Dynamics,False,9932253758604808,/media/Masters/ETD-storage/2020/Wang-RLM82V6sqebDABZb4EfTpn/data/Wang_sunyalb_0668A_185/cmprs_rsb_wave_u.pdf
2020,Williams-FnwpQeQczSBbtWZ2hVx2ZH,Nathaniel Williams,Aesthetic Education In The Anthropocene,False,9932261459504808,/media/Masters/ETD-storage/2020/Williams-FnwpQeQczSBbtWZ2hVx2ZH/data/Williams_sunyalb_0668A_185/Photo use permissions.docx
2020,Zelinskyi-2TTey4Yoss3ggy2Dz9pAvm,Yaroslav Zelinskyi,Timing Of Antiretroviral Initiation And Virologic Outcomes Among Hiv-Positive Adults In Ukraine (2010—2015),False,9932253559804808,/media/Masters/ETD-storage/2020/Zelinskyi-2TTey4Yoss3ggy2Dz9pAvm/data/Zelinskyi_sunyalb_0668N_185/supplementary_figure_4.png
2021,Barber-enp9ok3oxAvq3H2y4sEAaM,Alexis Pearl Barber,Utilizing Raman Spectroscopy To Determine The Time Since Deposition Of Heated Bloodstains,2022-06-14,9932386121804808,/media/Masters/ETD-storage/2021/Barber-enp9ok3oxAvq3H2y4sEAaM/data/Barber_sunyalb_0668N_185/Barber_Thesis_Supporting_Figures.docx
2021,Edwards-8YaE5AaprpeGSRp9Aw4LnG,Amani Edwards,"19Th Century Exam, 21St Century Policing: An Examination Of The New York State Civil Service And Police Officer Recruitment",False,9932338424104808,/media/Masters/ETD-storage/2021/Edwards-8YaE5AaprpeGSRp9Aw4LnG/data/Edwards_sunyalb_0668A_185/Appendices_dissertation.pdf
2021,Fowler-RKYo2z2SbWcUqiTqDnzXYX,Zoe Fowler,Against Empathy Bias: The Moral Value Of Equitable Empathy,2022-05-04,9932379123604808,/media/Masters/ETD-storage/2021/Fowler-RKYo2z2SbWcUqiTqDnzXYX/data/Fowler_sunyalb_0668N_185/Fowler_MastersThesisSupplemental.pdf
2021,Gasperi-TBkpuZ2iTMFLakwkgm8q4v,William Eugene Gasperi,Epitranscriptomic Writer Regulation Of Gene Expression In Escherichia Coli,2023-04-30,9932379023204808,/media/Masters/ETD-storage/2021/Gasperi-TBkpuZ2iTMFLakwkgm8q4v/data/Gasperi_sunyalb_0668N_185/E. coli Codon Analytics Focus SelU.xlsx
2021,Matthews-62v5pwJ3u9TXoyGXFRjRhK,Joseph R Matthews,Elucidating The Relationship Between Recombination Frequency And Antibiotic Resistance In Staphylococcus Aureus,False,9932344217604808,/media/Masters/ETD-storage/2021/Matthews-62v5pwJ3u9TXoyGXFRjRhK/data/Matthews_sunyalb_0668N_185/Supplementary Table S3.csv
2021,Mcgaughan-PJ5UrsrYzVkeqHrwNoYqFE,James A Mcgaughan,Investigating Insensitivity To Prior Probabilities In Merger And Acquisition Decision Making,False,9932328756004808,/media/Masters/ETD-storage/2021/Mcgaughan-PJ5UrsrYzVkeqHrwNoYqFE/data/MCGAUGHAN_sunyalb_0668A_185/Peremission_Lichtenstein_1977.pdf
2021,Murphy-J52hAvwQDZ3DzHysG2wTPd,Shawn Patrick Murphy,Retrotransposon-Mediated Transduction Of An Environmental Cue To Regulate Centrosome Fate,2022-08-06,9932384023904808,/media/Masters/ETD-storage/2021/Murphy-J52hAvwQDZ3DzHysG2wTPd/data/Murphy_sunyalb_0668A_185/Notice to co-authors.docx
2021,Waldern-PMwnjGG7DC7pjWLJAVE7mv,Justin Michael Waldern,Host Factors Affecting Group Ii Intron Retrotransposition,2022-02-01,9932309860104808,/media/Masters/ETD-storage/2021/Waldern-PMwnjGG7DC7pjWLJAVE7mv/data/Waldern_sunyalb_0668A_185/Waldern_Supplemental_Files.zip
2022,Henny-Mk37yj8FiS6FUmHYZF88Gx,Lexi Henny,Changes In Large-Scale Extreme Precipitation In Over Taiwan And The Northeast United States: Past And Future,False,9932471492504808,/media/Masters/ETD-storage/2022/Henny-Mk37yj8FiS6FUmHYZF88Gx/data/Henny_sunyalb_0668A_185/Appendices.pdf
2022,Martin-2hNHcLcveogTYsXYnTjCgQ,Elliot T Martin,Translation Control Tunes Drosophila Oogenesis,False,9932389124204808,/media/Masters/ETD-storage/2022/Martin-2hNHcLcveogTYsXYnTjCgQ/data/Martin_sunyalb_0668A_185/Supplemental Table 8 - Primer_List.xlsx
2022,Primeau-DXBHxpgANNzUSrXkwxUBFA,Kristy Elizabeth Primeau,A Gis Approach To Landscape Scale Archaeoacoustics,False,9932399724204808,/media/Masters/ETD-storage/2022/Primeau-DXBHxpgANNzUSrXkwxUBFA/data/Primeau_sunyalb_0668A_185/ArchaeoacousticsToolbox_v0.9.3.zip
2022,Sprissler-ipm5iQEux45J3uUaGQWqLB,Ethan Sprissler,Cheating Detection In A Privacy Preserving Driving Style Recognition Protocol,False,9932428794704808,/media/Masters/ETD-storage/2022/Sprissler-ipm5iQEux45J3uUaGQWqLB/data/Sprissler_sunyalb_0668A_185/SprisslerDis_FilesData.zip
2022,Turcotte-ZKNQsNyAwqUhnSbdcZRcnj,Madison R Turcotte,"Genomic Epidemiology Of Clinical Salmonella Enterica In New Hampshire, 2017-2020",False,9932378823804808,/media/Masters/ETD-storage/2022/Turcotte-ZKNQsNyAwqUhnSbdcZRcnj/data/Turcotte_sunyalb_0668N_185/Appendix_tables1to5_merged.xlsx
2023,Harris-VqA2XnS79BtRqNeVqUazH2,Leandra A. Harris,An Ex-Post Theory Of Change Assessment Of Foster Care Alumni Support Services Within A Higher Education System,False,,/media/Masters/ETD-storage/2023/Harris-VqA2XnS79BtRqNeVqUazH2/data/Harris_sunyalb_0668A_185/Theory of Change 02022023.pdf
2023,Hoff-HRYMAAQ6TXnisCw2HbfK4w,Samantha Hoff,Refugia From White-Nose Syndrome: Ecology And Behavior Of Northern Myotis Coastal Populations,False,,/media/Masters/ETD-storage/2023/Hoff-HRYMAAQ6TXnisCw2HbfK4w/data/Hoff_sunyalb_0668A_185/ch2 co-author support.pdf
2023,Kathe-X5ooW8oNX4hGtXTYQqzi8v,Jessica Kathe,Prioritizing Spotted Lanternfly Management In The Nyc Water Supply Watersheds,False,,/media/Masters/ETD-storage/2023/Kathe-X5ooW8oNX4hGtXTYQqzi8v/data/Kathe_sunyalb_0668N_185/JKathe_Thesis Approval Form.pdf
